uid,id,rarity,time,banner,type,manual
1728526200000011922,20015,3,2024-10-10T02:17:32.000Z,1001,1,false
1728526200000012022,20018,3,2024-10-10T02:17:37.000Z,1001,1,false
1728526200000012122,20004,3,2024-10-10T02:17:43.000Z,1001,1,false
1729653000000230822,20004,3,2024-10-23T03:08:11.000Z,1001,1,false
1730059800000000522,20015,3,2024-10-27T20:01:07.000Z,1001,1,false
1730243400000065122,21019,4,2024-10-29T23:37:21.000Z,1001,1,false
1730243400000065422,20019,3,2024-10-29T23:37:27.000Z,1001,1,false
1730243400000065522,20008,3,2024-10-29T23:37:31.000Z,1001,1,false
1730243400000065722,20016,3,2024-10-29T23:37:35.000Z,1001,1,false
1730495400000077822,20012,3,2024-11-01T21:34:47.000Z,1001,1,false
1730495400000077922,20006,3,2024-11-01T21:34:54.000Z,1001,1,false
1730495400000078022,20008,3,2024-11-01T21:34:58.000Z,1001,1,false
1730495400000078122,20000,3,2024-11-01T21:35:01.000Z,1001,1,false
1730495400000078322,20018,3,2024-11-01T21:35:04.000Z,1001,1,false
1730765400000068022,20016,3,2024-11-05T00:54:50.000Z,1001,1,false
1730765400000068122,1223,4,2024-11-05T00:54:55.000Z,1001,1,false
1730765400000068222,20009,3,2024-11-05T00:55:01.000Z,1001,1,false
1731028200000049722,20003,3,2024-11-08T01:47:08.000Z,1001,1,false
1731463800000020422,20019,3,2024-11-13T02:17:26.000Z,1001,1,false
1731550200000406122,20011,3,2024-11-14T02:34:45.000Z,1001,1,false
1731550200000407222,20011,3,2024-11-14T02:34:50.000Z,1001,1,false
1731550200000408322,20006,3,2024-11-14T02:34:56.000Z,1001,1,false
1731550200000565922,20010,3,2024-11-14T02:46:08.000Z,1001,1,false
1731550200000568622,20001,3,2024-11-14T02:46:14.000Z,1001,1,false
1732151400000065822,21008,4,2024-11-21T01:51:12.000Z,1001,1,false
1732929000000029822,20000,3,2024-11-30T01:31:21.000Z,1001,1,false
1733055000000110322,20004,3,2024-12-01T12:47:11.000Z,1001,1,false
1733055000000110422,20004,3,2024-12-01T12:47:18.000Z,1001,1,false
1733055000000110522,20006,3,2024-12-01T12:47:22.000Z,1001,1,false
1733055000000110622,20007,3,2024-12-01T12:47:26.000Z,1001,1,false
1733055000000110722,20017,3,2024-12-01T12:47:30.000Z,1001,1,false
1733281800002996422,20019,3,2024-12-04T03:19:37.000Z,1001,1,false
1733281800003005222,20012,3,2024-12-04T03:19:41.000Z,1001,1,false
1733281800003012422,1109,4,2024-12-04T03:19:44.000Z,1001,1,false
1733281800003029322,20014,3,2024-12-04T03:19:51.000Z,1001,1,false
1733281800003037022,20008,3,2024-12-04T03:19:54.000Z,1001,1,false
1733281800003046422,1105,4,2024-12-04T03:19:58.000Z,1001,1,false
1733285400002364222,20001,3,2024-12-04T04:40:25.000Z,1001,1,false
1733609400000079122,20000,3,2024-12-07T22:30:38.000Z,1001,1,false
1734574200000014822,20004,3,2024-12-19T02:12:51.000Z,1001,1,false
1735071000000032622,20010,3,2024-12-24T20:25:37.000Z,1001,1,false
1735071000000032822,20020,3,2024-12-24T20:25:40.000Z,1001,1,false
1735949400000089722,20013,3,2025-01-04T00:50:34.000Z,1001,1,false
1735949400000089822,20013,3,2025-01-04T00:50:37.000Z,1001,1,false
1735949400000090222,20010,3,2025-01-04T00:50:40.000Z,1001,1,false
1735949400000090422,1107,5,2025-01-04T00:50:44.000Z,1001,1,false
1735949400000090522,21010,4,2025-01-04T00:50:53.000Z,1001,1,false
1735949400000090622,21017,4,2025-01-04T00:50:56.000Z,1001,1,false
1735949400000090722,20016,3,2025-01-04T00:50:59.000Z,1001,1,false
1736003400000052522,20011,3,2025-01-04T15:50:45.000Z,1001,1,false
1736910600001242422,20003,3,2025-01-15T03:07:24.000Z,1001,1,false
1737252600000042222,20016,3,2025-01-19T02:15:49.000Z,1001,1,false
1737252600000042422,20003,3,2025-01-19T02:15:54.000Z,1001,1,false
1737691800000025422,20016,3,2025-01-24T04:07:00.000Z,1001,1,false
1738534200000163122,20008,3,2025-02-02T22:59:46.000Z,1001,1,false
1738534200000163422,20017,3,2025-02-02T22:59:50.000Z,1001,1,false
1738534200000163822,1009,4,2025-02-02T22:59:53.000Z,1001,1,false
1738534200000164222,20016,3,2025-02-02T22:59:57.000Z,1001,1,false
1738537800000000222,20011,3,2025-02-02T23:00:00.000Z,1001,1,false
1738537800000000622,20012,3,2025-02-02T23:00:03.000Z,1001,1,false
1739052600000165822,20006,3,2025-02-08T22:57:58.000Z,1001,1,false
1739848200000111622,20004,3,2025-02-18T03:56:48.000Z,1001,1,false
1739848200000111722,20021,3,2025-02-18T03:56:52.000Z,1001,1,false
1739848200000111822,20007,3,2025-02-18T03:56:55.000Z,1001,1,false
1739848200000111922,21012,4,2025-02-18T03:56:58.000Z,1001,1,false
1739848200000112022,20009,3,2025-02-18T03:57:01.000Z,1001,1,false
1740622200000220022,20016,3,2025-02-27T02:34:22.000Z,1001,1,false
1740622200000220222,1008,4,2025-02-27T02:34:26.000Z,1001,1,false
1740622200000220422,20000,3,2025-02-27T02:34:30.000Z,1001,1,false
1740834600000092122,20012,3,2025-03-01T13:28:46.000Z,1001,1,false
1740834600000092322,20014,3,2025-03-01T13:28:49.000Z,1001,1,false
1740834600000092422,20014,3,2025-03-01T13:28:52.000Z,1001,1,false
1740834600000092522,20019,3,2025-03-01T13:28:54.000Z,1001,1,false
1740834600000092722,20019,3,2025-03-01T13:28:57.000Z,1001,1,false
1740935400000076922,20018,3,2025-03-02T17:18:11.000Z,1001,1,false
1740935400000077022,20021,3,2025-03-02T17:18:14.000Z,1001,1,false
1740935400000077222,1103,4,2025-03-02T17:18:17.000Z,1001,1,false
1741651800000070622,20014,3,2025-03-11T00:46:52.000Z,1001,1,false
1741651800000070722,20017,3,2025-03-11T00:46:56.000Z,1001,1,false
1741993800000067722,20003,3,2025-03-14T23:58:46.000Z,1001,1,false
1743286200000008922,20004,3,2025-03-29T22:07:40.000Z,1001,1,false
1743286200000009022,20013,3,2025-03-29T22:07:44.000Z,1001,1,false
1743552600000049622,20009,3,2025-04-02T00:22:55.000Z,1001,1,false
1743552600000049822,20001,3,2025-04-02T00:22:58.000Z,1001,1,false
1743552600000049922,20019,3,2025-04-02T00:23:01.000Z,1001,1,false
1743552600000050022,21045,4,2025-04-02T00:23:04.000Z,1001,1,false
1743552600000050422,1002,4,2025-04-02T00:23:13.000Z,1001,1,false
1743599400000030522,20000,3,2025-04-02T13:50:21.000Z,1001,1,false
1744168200008752222,20004,3,2025-04-09T03:23:25.000Z,1001,1,false
1744168200008768922,20009,3,2025-04-09T03:23:29.000Z,1001,1,false
1744168200008782922,20017,3,2025-04-09T03:23:32.000Z,1001,1,false
1744200600000033622,20005,3,2025-04-09T12:02:15.000Z,1001,1,false
1731550200000153622,20018,3,2024-11-14T02:15:35.000Z,2050,11,false
