Reference: https://www.youtube.com/watch?v=chlj-Y6NM14,,,,,,,
uid,pull_number,rarity,type,did_win_featured,eidolon,pity_counter,pity_counter_featured
user3_pull1,1,3,11,,,1,1
user3_pull2,2,4,11,,,2,2
user3_pull3,3,3,11,,,3,3
user3_pull4,4,3,11,,,4,4
user3_pull5,5,3,11,,,5,5
user3_pull6,6,3,11,,,6,6
user3_pull7,7,3,11,,,7,7
user3_pull8,8,3,11,,,8,8
user3_pull9,9,3,11,,,9,9
user3_pull10,10,3,11,,,10,10
user3_pull11,11,4,11,,,11,11
user3_pull12,12,3,11,,,12,12
user3_pull13,13,5,11,win,e0,13,13
user3_pull14,14,3,11,,e0,1,1
user3_pull15,15,3,11,,e0,2,2
user3_pull16,16,3,11,,e0,3,3
user3_pull17,17,4,11,,e0,4,4
user3_pull18,18,3,11,,e0,5,5
user3_pull19,19,3,11,,e0,6,6
user3_pull20,20,3,11,,e0,7,7
user3_pull21,21,3,11,,e0,8,8
user3_pull22,22,3,11,,e0,9,9
user3_pull23,23,4,11,,e0,10,10
user3_pull24,24,3,11,,e0,11,11
user3_pull25,25,3,11,,e0,12,12
user3_pull26,26,3,11,,e0,13,13
user3_pull27,27,3,11,,e0,14,14
user3_pull28,28,3,11,,e0,15,15
user3_pull29,29,3,11,,e0,16,16
user3_pull30,30,3,11,,e0,17,17
user3_pull31,31,3,11,,e0,18,18
user3_pull32,32,3,11,,e0,19,19
user3_pull33,33,4,11,,e0,20,20
user3_pull34,34,3,11,,e0,21,21
user3_pull35,35,3,11,,e0,22,22
user3_pull36,36,3,11,,e0,23,23
user3_pull37,37,3,11,,e0,24,24
user3_pull38,38,3,11,,e0,25,25
user3_pull39,39,3,11,,e0,26,26
user3_pull40,40,3,11,,e0,27,27
user3_pull41,41,3,11,,e0,28,28
user3_pull42,42,3,11,,e0,29,29
user3_pull43,43,4,11,,e0,30,30
user3_pull44,44,3,11,,e0,31,31
user3_pull45,45,3,11,,e0,32,32
user3_pull46,46,4,11,,e0,33,33
user3_pull47,47,3,11,,e0,34,34
user3_pull48,48,3,11,,e0,35,35
user3_pull49,49,4,11,,e0,36,36
user3_pull50,50,3,11,,e0,37,37
user3_pull51,51,3,11,,e0,38,38
user3_pull52,52,3,11,,e0,39,39
user3_pull53,53,5,11,lose,e0,40,40
user3_pull54,54,3,11,,e0,1,41
user3_pull55,55,3,11,,e0,2,42
user3_pull56,56,3,11,,e0,3,43
user3_pull57,57,3,11,,e0,4,44
user3_pull58,58,3,11,,e0,5,45
user3_pull59,59,4,11,,e0,6,46
user3_pull60,60,3,11,,e0,7,47
user3_pull61,61,3,11,,e0,8,48
user3_pull62,62,3,11,,e0,9,49
user3_pull63,63,3,11,,e0,10,50
user3_pull64,64,3,11,,e0,11,51
user3_pull65,65,3,11,,e0,12,52
user3_pull66,66,3,11,,e0,13,53
user3_pull67,67,3,11,,e0,14,54
user3_pull68,68,3,11,,e0,15,55
user3_pull69,69,4,11,,e0,16,56
user3_pull70,70,3,11,,e0,17,57
user3_pull71,71,3,11,,e0,18,58
user3_pull72,72,3,11,,e0,19,59
user3_pull73,73,3,11,,e0,20,60
user3_pull74,74,3,11,,e0,21,61
user3_pull75,75,3,11,,e0,22,62
user3_pull76,76,3,11,,e0,23,63
user3_pull77,77,4,11,,e0,24,64
user3_pull78,78,3,11,,e0,25,65
user3_pull79,79,4,11,,e0,26,66
user3_pull80,80,3,11,,e0,27,67
user3_pull81,81,4,11,,e0,28,68
user3_pull82,82,3,11,,e0,29,69
user3_pull83,83,3,11,,e0,30,70
user3_pull84,84,3,11,,e0,31,71
